NO,MValue,SValue
1,2.12798e-05,0.804414
2,2.11771e-05,0.806149
3,2.02241e-05,0.836168
4,1.9428e-05,0.866481
5,1.83664e-05,0.908658
6,1.77838e-05,0.924664
7,1.71892e-05,0.956914
8,1.65002e-05,0.991571
9,1.63764e-05,0.999664
10,1.58398e-05,1.022
11,1.56269e-05,1.03269
12,1.51158e-05,1.06021
13,1.48129e-05,1.07645
14,1.44967e-05,1.09232
15,1.42825e-05,1.10659
16,1.41699e-05,1.11065
17,1.38235e-05,1.13164
18,1.37541e-05,1.13802
19,1.35241e-05,1.15177
20,1.32898e-05,1.16668
21,1.31019e-05,1.1795
22,1.28788e-05,1.19484
23,1.27715e-05,1.19891
24,1.26123e-05,1.21282
25,1.23511e-05,1.22933
26,1.22418e-05,1.23411
27,1.22185e-05,1.23752
28,1.21388e-05,1.2443
29,1.19465e-05,1.25672
30,1.18849e-05,1.26025
31,1.16552e-05,1.27494
32,1.15569e-05,1.28526
33,1.15701e-05,1.28359
34,1.14163e-05,1.29537
35,1.14351e-05,1.29236
36,1.12564e-05,1.30746
37,1.1238e-05,1.30728
38,1.10732e-05,1.31968
39,1.10613e-05,1.32075
40,1.1001e-05,1.32675
41,1.09029e-05,1.33515
42,1.08463e-05,1.33774
43,1.07504e-05,1.34762
44,1.06814e-05,1.35301
45,1.06002e-05,1.35841
46,1.05679e-05,1.36203
47,1.05164e-05,1.36274
48,1.03756e-05,1.37656
49,1.02621e-05,1.38416
50,1.02708e-05,1.38345
51,1.02125e-05,1.38943
52,1.01823e-05,1.38679
53,1.00635e-05,1.39792
54,1.00229e-05,1.4058
55,1.00121e-05,1.40263
56,9.8454e-06,1.41763
57,9.85532e-06,1.41739
58,9.86312e-06,1.41329
59,9.79272e-06,1.42246
60,9.77693e-06,1.42646
61,9.69091e-06,1.43038
62,9.65231e-06,1.43542
63,9.65681e-06,1.43614
64,9.61824e-06,1.43884
65,9.55319e-06,1.44286
66,9.48275e-06,1.45151
67,9.47273e-06,1.4537
68,9.44129e-06,1.45599
69,9.47177e-06,1.45051
70,9.39173e-06,1.46063
71,9.3677e-06,1.46002
72,9.33066e-06,1.46491
73,9.31663e-06,1.46647
74,9.22456e-06,1.48027
75,9.20146e-06,1.47747
76,9.24136e-06,1.47219
77,9.11934e-06,1.48718
78,9.12553e-06,1.48292
79,9.1527e-06,1.47807
80,9.10233e-06,1.4863
81,9.02057e-06,1.49297
82,9.0006e-06,1.4908
83,9.08425e-06,1.48504
84,9.02337e-06,1.4925
85,8.97072e-06,1.50076
86,8.96588e-06,1.49755
87,8.92396e-06,1.50361
88,8.95865e-06,1.49736
89,8.88815e-06,1.50647
90,8.85356e-06,1.51079
91,8.82605e-06,1.51616
92,8.84444e-06,1.50801
93,8.8054e-06,1.51248
94,8.74357e-06,1.52063
95,8.78427e-06,1.51951
96,8.77009e-06,1.51958
97,8.74525e-06,1.51863
98,8.7361e-06,1.51719
99,8.73372e-06,1.51719
100,8.60758e-06,1.53438
101,8.61841e-06,1.53242
102,8.57522e-06,1.53564
103,8.57806e-06,1.53535
104,8.55751e-06,1.54009
105,8.58499e-06,1.53632
106,8.52158e-06,1.5452
107,8.51765e-06,1.54152
108,8.56144e-06,1.53994
109,8.51831e-06,1.54355
110,8.49073e-06,1.54569
111,8.6082e-06,1.53215
112,8.48604e-06,1.5469
113,8.49484e-06,1.54519
114,8.48288e-06,1.54719
115,8.47582e-06,1.54534
116,8.41236e-06,1.55357
117,8.40793e-06,1.55285
118,8.52812e-06,1.53776
119,8.45403e-06,1.54607
120,8.40325e-06,1.5503
121,8.39195e-06,1.55342
122,8.45223e-06,1.54795
123,8.40567e-06,1.55511
124,8.4035e-06,1.5558
125,8.43008e-06,1.54856
126,8.42665e-06,1.54906
127,8.36725e-06,1.55889
128,8.3538e-06,1.55911
129,8.32503e-06,1.56267
130,8.31673e-06,1.56232
131,8.34082e-06,1.56092
132,8.3105e-06,1.56191
133,8.31542e-06,1.56181
134,8.31902e-06,1.56228
135,8.27953e-06,1.56429
136,8.27488e-06,1.56198
137,8.26531e-06,1.56802
138,8.28449e-06,1.56204
139,8.27475e-06,1.56752
140,8.29101e-06,1.56406
141,8.25477e-06,1.56602
142,8.24684e-06,1.56918
143,8.25693e-06,1.567
144,8.23441e-06,1.56961
145,8.27198e-06,1.5632
146,8.25841e-06,1.56448
147,8.2706e-06,1.56131
148,8.23201e-06,1.56742
149,8.2063e-06,1.56963
150,8.24263e-06,1.56343
151,8.20391e-06,1.56942
152,8.20488e-06,1.57008
153,8.21461e-06,1.57042
154,8.22704e-06,1.56901
155,8.25262e-06,1.56795
156,8.23638e-06,1.568
157,8.26167e-06,1.56121
158,8.20077e-06,1.57156
159,8.23431e-06,1.56341
160,8.24828e-06,1.56715
161,8.2454e-06,1.56422
162,8.23087e-06,1.56853
163,8.23437e-06,1.56486
164,8.19002e-06,1.56762
165,8.20415e-06,1.57095
166,8.22415e-06,1.56765
167,8.17528e-06,1.57445
168,8.24106e-06,1.56163
169,8.22649e-06,1.56471
170,8.22422e-06,1.56442
171,8.20818e-06,1.56756
172,8.23679e-06,1.56488
173,8.23489e-06,1.56754
174,8.20236e-06,1.56692
175,8.23277e-06,1.56254
176,8.22021e-06,1.56706
177,8.17816e-06,1.56921
178,8.20799e-06,1.56716
179,8.24702e-06,1.56258
180,8.19325e-06,1.56565
181,8.22504e-06,1.56461
182,8.22089e-06,1.56539
183,8.22321e-06,1.56361
184,8.21631e-06,1.56477
185,8.23411e-06,1.56406
186,8.18985e-06,1.56801
187,8.19456e-06,1.57024
188,8.22866e-06,1.55965
189,8.21443e-06,1.56689
190,8.29241e-06,1.5531
191,8.21586e-06,1.56241
192,8.26559e-06,1.55808
193,8.18214e-06,1.56891
194,8.20326e-06,1.56825
195,8.2277e-06,1.55571
196,8.24542e-06,1.56101
197,8.27947e-06,1.55598
198,8.24377e-06,1.55884
199,8.24039e-06,1.55701
200,8.22017e-06,1.56284
201,8.23525e-06,1.5622
202,8.21669e-06,1.5644
203,8.26236e-06,1.55557
204,8.25452e-06,1.55843
205,8.25883e-06,1.55759
206,8.24505e-06,1.56163
207,8.26423e-06,1.55522
208,8.23798e-06,1.55968
209,8.22936e-06,1.5603
210,8.27488e-06,1.55599
211,8.22181e-06,1.56306
212,8.26866e-06,1.55645
213,8.29705e-06,1.55008
214,8.32602e-06,1.54648
215,8.29067e-06,1.55306
216,8.27819e-06,1.55469
217,8.24064e-06,1.56021
218,8.24715e-06,1.55556
219,8.31236e-06,1.54632
220,8.2834e-06,1.55258
221,8.27763e-06,1.55422
222,8.27526e-06,1.55238
223,8.28547e-06,1.5528
224,8.29289e-06,1.54955
225,8.29525e-06,1.54986
226,8.24434e-06,1.55532
227,8.29546e-06,1.55041
228,8.24319e-06,1.55881
229,8.22306e-06,1.55912
230,8.30405e-06,1.54967
231,8.34224e-06,1.54313
232,8.30231e-06,1.55119
233,8.32353e-06,1.54675
234,8.32252e-06,1.54848
235,8.29271e-06,1.55232
236,8.31426e-06,1.55018
