NO,MValue,SValue
1,1.69728e-05,0.953664
2,1.6198e-05,0.986177
3,1.52975e-05,1.03127
4,1.46464e-05,1.06057
5,1.38346e-05,1.10365
6,1.34635e-05,1.12389
7,1.32136e-05,1.13801
8,1.27301e-05,1.16754
9,1.24453e-05,1.18432
10,1.21274e-05,1.20771
11,1.17208e-05,1.23548
12,1.15791e-05,1.24391
13,1.13812e-05,1.25735
14,1.10496e-05,1.28377
15,1.09342e-05,1.28949
16,1.06719e-05,1.312
17,1.04064e-05,1.33362
18,1.03152e-05,1.33953
19,9.99203e-06,1.36656
20,9.8278e-06,1.38151
21,9.68461e-06,1.3932
22,9.48647e-06,1.4126
23,9.34024e-06,1.42547
24,9.25248e-06,1.43406
25,9.11792e-06,1.44455
26,9.01478e-06,1.45455
27,8.95981e-06,1.46178
28,8.7957e-06,1.47585
29,8.70256e-06,1.48805
30,8.66632e-06,1.49068
31,8.53562e-06,1.5044
32,8.46403e-06,1.51269
33,8.43255e-06,1.51517
34,8.38883e-06,1.51812
35,8.30048e-06,1.52707
36,8.1965e-06,1.54016
37,8.15516e-06,1.54157
38,8.08134e-06,1.55325
39,8.05268e-06,1.55585
40,8.01206e-06,1.5576
41,7.92373e-06,1.56954
42,7.93424e-06,1.56596
43,7.8467e-06,1.57929
44,7.77543e-06,1.58684
45,7.75181e-06,1.58723
46,7.73052e-06,1.59113
47,7.60365e-06,1.60693
48,7.55335e-06,1.61332
49,7.53382e-06,1.61487
50,7.54372e-06,1.6125
51,7.44121e-06,1.62361
52,7.42576e-06,1.62631
53,7.41626e-06,1.62546
54,7.33593e-06,1.63708
55,7.30346e-06,1.64064
56,7.28667e-06,1.64418
57,7.21818e-06,1.65341
58,7.22151e-06,1.6503
59,7.21462e-06,1.64863
60,7.17932e-06,1.65528
61,7.14134e-06,1.6583
62,7.08037e-06,1.66741
63,7.05074e-06,1.67172
64,6.99394e-06,1.6814
65,6.94232e-06,1.68828
66,6.93678e-06,1.68675
67,6.86973e-06,1.69866
68,6.8241e-06,1.70495
69,6.80391e-06,1.70732
70,6.7735e-06,1.7126
71,6.74578e-06,1.71438
72,6.71286e-06,1.71871
73,6.67332e-06,1.7272
74,6.65736e-06,1.72774
75,6.622e-06,1.73363
76,6.57722e-06,1.74205
77,6.5819e-06,1.73957
78,6.55918e-06,1.74224
79,6.53965e-06,1.74656
80,6.50479e-06,1.75407
81,6.48568e-06,1.75375
82,6.45611e-06,1.75988
83,6.4589e-06,1.75864
84,6.43871e-06,1.7627
85,6.41429e-06,1.76544
86,6.41051e-06,1.76537
87,6.39955e-06,1.76845
88,6.39816e-06,1.76707
89,6.393e-06,1.76908
90,6.37702e-06,1.76845
91,6.34041e-06,1.77736
92,6.33988e-06,1.77412
93,6.30153e-06,1.78338
94,6.30848e-06,1.77951
95,6.30191e-06,1.78301
96,6.2914e-06,1.7833
97,6.24696e-06,1.79243
98,6.27984e-06,1.7835
99,6.26487e-06,1.78859
100,6.2458e-06,1.79011
101,6.24839e-06,1.79049
102,6.22127e-06,1.79378
103,6.20647e-06,1.79713
104,6.21949e-06,1.79218
105,6.19477e-06,1.79977
