NO,MValue,SValue
1,17.68,0.15
2,17.68,0.15
3,17.68,0.15
4,17.68,0.15
5,17.68,0.15
6,17.68,0.15
7,17.68,0.15
8,17.68,0.15
9,17.68,0.15
10,17.68,0.15
11,17.68,0.15
12,17.68,0.15
13,17.68,0.15
14,17.68,0.15
15,17.68,0.15
16,17.68,0.15
17,17.68,0.15
18,17.68,0.15
19,17.68,0.15
20,17.68,0.15
21,17.68,0.15
22,17.68,0.15
23,17.68,0.15
24,17.68,0.15
25,17.68,0.15
26,17.68,0.15
27,17.68,0.15
28,17.69,0.15
29,17.69,0.15
30,17.69,0.15
31,17.69,0.15
32,17.69,0.15
33,17.69,0.15
34,17.69,0.15
35,17.69,0.15
36,17.69,0.15
37,17.69,0.15
38,17.69,0.15
39,17.69,0.15
40,17.69,0.15
41,17.69,0.15
42,17.69,0.15
43,17.69,0.15
44,17.69,0.15
45,17.69,0.15
46,17.69,0.15
47,17.69,0.15
48,17.69,0.15
49,17.69,0.15
50,17.69,0.15
51,17.69,0.15
52,17.69,0.15
53,17.69,0.15
54,17.69,0.15
55,17.69,0.15
56,17.69,0.15
57,17.69,0.15
57.5,17.69,0.15
58.0,17.69,0.15
58.5,17.69,0.15
59.0,17.69,0.15
59.5,17.69,0.15
60.0,17.69,0.15
60.5,17.69,0.15
61.0,17.69,0.15
61.5,17.69,0.15
62.0,17.69,0.15
62.5,17.69,0.15
63.0,17.69,0.15
63.5,17.69,0.15
64.0,17.69,0.15
64.5,17.70,0.15
65.0,17.70,0.15
65.5,17.70,0.15
66.0,17.70,0.15
66.5,17.70,0.15
67.0,17.70,0.15
67.5,17.70,0.15
68.0,17.70,0.15
68.5,17.70,0.15
69.0,17.70,0.15
69.5,17.70,0.15
70.0,17.70,0.15
70.5,17.70,0.15
71.0,17.70,0.15
71.5,17.70,0.15
72.0,17.70,0.15
72.5,17.70,0.15
73.0,17.70,0.15
73.5,17.70,0.15
74.0,17.70,0.15
74.5,17.70,0.15
75.0,17.70,0.15
75.5,17.70,0.15
76.0,17.70,0.15
76.5,17.70,0.15
77.0,17.70,0.15
77.5,17.70,0.15
78.0,17.70,0.15
78.5,17.70,0.15
79.0,17.70,0.15
79.5,17.70,0.15
80.0,17.70,0.15
80.5,17.70,0.15
81.0,17.70,0.15
81.5,17.70,0.15
82.0,17.70,0.15
82.5,17.70,0.15
83.0,17.70,0.15
83.5,17.70,0.15
84.0,17.70,0.15
84.5,17.70,0.15
85.0,17.70,0.15
85.5,17.70,0.15
86.0,17.70,0.15
86.5,17.70,0.15
87.0,17.70,0.15
87.5,17.71,0.15
88.0,17.71,0.15
88.5,17.71,0.15
89.0,17.71,0.15
89.5,17.71,0.15
90.0,17.71,0.15
90.5,17.71,0.15
91.0,17.71,0.15
93.0,17.71,0.15
94.0,17.71,0.15
95.0,17.71,0.15
96.0,17.71,0.15
97.0,17.71,0.15
98.0,17.71,0.15
99.0,17.71,0.15
100.0,17.71,0.15
101.0,17.71,0.15
102.0,17.71,0.15
103.0,17.71,0.15
104.0,17.71,0.15
105.0,17.71,0.15
106.0,17.71,0.15
107.0,17.71,0.15
108.0,17.71,0.15
109.0,17.71,0.15
110.0,17.71,0.15
111.0,17.71,0.15
112.0,17.71,0.15
113.0,17.71,0.15
114.0,17.71,0.15
115.0,17.71,0.15
116.0,17.71,0.15
117.0,17.71,0.15
118.0,17.71,0.15
