NO,MValue,SValue
1,-0.00,0.34
2,-0.00,0.39
3,-0.00,0.41
4,-0.00,0.57
5,-0.00,0.78
6,-0.00,0.77
7,-0.00,0.45
8,-0.00,0.35
9,-0.00,0.51
10,-0.00,0.68
11,-0.00,0.30
12,-0.00,0.63
13,-0.00,0.33
14,-0.00,0.70
15,-0.00,0.50
16,-0.00,0.79
17,-0.00,0.42
18,-0.00,0.36
19,-0.00,0.71
20,-0.00,0.47
21,-0.00,0.45
22,-0.00,0.46
23,-0.00,0.66
24,-0.00,0.60
25,-0.00,0.48
26,-0.00,0.63
27,-0.00,0.42
28,-0.00,0.62
29,-0.00,0.60
30,-0.00,0.68
31,-0.00,0.44
32,-0.00,0.64
33,-0.00,0.42
34,-0.00,0.54
35,-0.00,0.86
36,-0.00,0.71
37,-0.00,0.44
38,-0.00,0.50
39,-0.00,0.57
40,-0.00,1.72
41,-0.00,0.80
42,-0.00,0.23
43,-0.00,1.60
44,-0.00,0.23
45,-0.00,1.65
46,-0.00,0.87
47,-0.00,0.29
48,-0.00,1.24
49,-0.00,1.20
50,-0.00,0.68
51,-0.00,0.37
52,-0.00,0.52
53,-0.00,0.36
54,-0.00,0.52
55,-0.00,0.32
56,-0.00,0.48
57,-0.00,0.55
58,-0.00,0.40
59,-0.00,0.43
60,-0.00,0.44
61,-0.00,0.42
62,-0.00,0.58
63,-0.00,0.47
64,-0.00,0.66
65,-0.00,0.69
66,-0.00,0.62
67,-0.00,0.72
68,-0.00,0.79
69,-0.00,0.66
70,-0.00,0.86
71,-0.00,0.50
72,-0.00,0.67
73,-0.00,0.61
74,-0.00,0.86
75,-0.00,0.52
76,-0.00,0.43
77,-0.00,0.42
78,-0.00,0.62
79,-0.00,0.66
80,-0.00,0.67
81,-0.00,0.68
82,-0.00,1.65
83,-0.00,0.37
84,-0.00,0.17
85,-0.00,1.50
86,-0.00,0.40
87,-0.00,0.19
88,-0.00,0.22
89,-0.00,0.34
90,-0.00,0.97
91,-0.00,1.04
92,-0.00,0.26
93,-0.00,0.44
94,-0.00,0.61
95,-0.00,0.74
96,-0.00,0.29
97,-0.00,0.35
98,-0.00,1.22
99,-0.00,0.32
100,-0.00,0.73
101,-0.00,0.31
102,-0.00,0.30
103,-0.00,0.52
104,-0.00,0.70
105,-0.00,0.64
106,-0.00,0.46
107,-0.00,0.75
108,-0.00,0.37
109,-0.00,0.84
110,-0.00,0.54
112,-0.00,0.53
114,-0.00,0.70
116,-0.00,0.75
116.5,-0.00,0.30
117.0,-0.00,0.54
117.5,-0.00,0.76
118.0,-0.00,0.68
118.5,-0.00,0.43
119.0,-0.00,0.76
119.5,-0.00,0.49
120.0,-0.00,0.50
120.5,-0.00,0.73
121.0,-0.00,0.89
121.5,-0.00,0.51
122.0,-0.00,0.40
122.5,-0.00,0.32
123.0,-0.00,0.68
123.5,-0.00,0.81
124.0,-0.00,0.87
124.5,-0.00,0.76
125.0,-0.00,0.71
125.5,-0.00,0.54
126.0,-0.00,0.54
126.5,-0.00,0.62
127.0,-0.00,0.59
127.5,-0.00,0.81
128.0,-0.00,0.93
128.5,-0.00,0.74
129.0,-0.00,0.60
129.5,-0.00,0.42
130.0,-0.00,0.30
130.5,-0.00,0.47
131.0,-0.00,0.67
131.5,-0.00,0.57
132.0,-0.00,0.36
132.5,-0.00,0.74
133.0,-0.00,0.42
133.5,-0.00,0.48
134.0,-0.00,0.72
134.5,-0.00,0.47
135.0,-0.00,0.44
135.5,-0.00,0.70
136.0,-0.00,0.41
136.5,-0.00,0.55
137.0,-0.00,0.48
137.5,-0.00,0.65
138.0,-0.00,0.33
138.5,-0.00,0.37
139.0,-0.00,0.73
139.5,-0.00,0.44
140.0,-0.00,0.72
140.5,-0.00,0.44
141.0,-0.00,0.64
141.5,-0.00,0.48
142.0,-0.00,0.50
142.5,-0.00,0.46
143.0,-0.00,0.66
143.5,-0.00,0.42
144.0,-0.00,0.67
144.5,-0.00,0.56
145.0,-0.00,0.33
146.0,-0.00,0.78
147.0,-0.00,0.58
148.0,-0.00,0.40
149.0,-0.00,0.47
150.0,-0.00,0.36
151.0,-0.00,0.62
152.0,-0.00,0.55
153.0,-0.00,0.74
154.0,-0.00,0.39
155.0,-0.00,0.45
156.0,-0.00,0.72
157.0,-0.00,0.39
158.0,-0.00,0.44
159.0,-0.00,0.69
160.0,-0.00,0.70
161.0,-0.00,0.47
162.0,-0.00,0.71
163.0,-0.00,0.60
164.0,-0.00,0.49
165.0,-0.00,0.72
166.0,-0.00,0.13
167.0,-0.00,0.78
168.0,-0.00,0.23
169.0,-0.00,0.30
170.0,-0.00,0.68
171.0,-0.00,0.17
172.0,-0.00,0.62
173.0,-0.00,0.14
174.0,-0.00,1.32
175.0,-0.00,0.11
176.0,-0.00,1.84
177.0,-0.00,0.73
178.0,-0.00,0.16
179.0,-0.00,0.42
180.0,-0.00,1.59
181.0,-0.00,0.86
182.0,-0.00,0.36
183.0,-0.00,0.18
184.0,-0.00,0.17
185.0,-0.00,0.41
186.0,-0.00,1.74
187.0,-0.00,1.20
188.0,-0.00,0.82
189.0,-0.00,0.34
190.0,-0.00,0.09
191.0,-0.00,0.63
192.0,-0.00,1.74
193.0,-0.00,0.67
194.0,-0.00,0.09
195.0,-0.00,1.45
196.0,-0.00,0.32
197.0,-0.00,0.25
198.0,-0.00,0.95
199.0,-0.00,0.12
200.0,-0.00,0.93
201.0,-0.00,0.10
202.0,-0.00,0.67
203.0,-0.00,0.15
204.0,-0.00,1.43
205.0,-0.00,0.15
206.0,-0.00,1.10
207.0,-0.00,0.11
208.0,-0.00,0.69
209.0,-0.00,0.37
210.0,-0.00,0.67
211.0,-0.00,1.93
212.0,-0.00,0.25
213.0,-0.00,2.28
214.0,-0.00,0.40
215.0,-0.00,0.53
216.0,-0.00,1.03
217.0,-0.00,0.11
218.0,-0.00,0.55
219.0,-0.00,0.75
220.0,-0.00,1.64
221.0,-0.00,0.13
222.0,-0.00,0.30
223.0,-0.00,0.20
224.0,-0.00,0.64
225.0,-0.00,0.20
226.0,-0.00,0.63
227.0,-0.00,1.19
228.0,-0.00,0.71
229.0,-0.00,1.63
230.0,-0.00,0.52
231.0,-0.00,1.70
232.0,-0.00,0.59
233.0,-0.00,1.77
234.0,-0.00,0.19
235.0,-0.00,0.26
236.0,-0.00,0.22
237.0,-0.00,0.84
238.0,-0.00,1.05
239.0,-0.00,0.64
240.0,-0.00,0.28
241.0,-0.00,1.51
242.0,-0.00,1.71
243.0,-0.00,0.10
244.0,-0.00,0.28
245.0,-0.00,1.63
246.0,-0.00,0.19
247.0,-0.00,0.70
248.0,-0.00,0.19
249.0,-0.00,1.22
250.0,-0.00,0.08
251.0,-0.00,2.88
252.0,-0.00,0.78
253.0,-0.00,0.16
254.0,-0.00,0.18
255.0,-0.00,0.68
256.0,-0.00,1.79
257.0,-0.00,1.07
258.0,-0.00,0.83
259.0,-0.00,0.82
260.0,-0.00,0.96
261.0,-0.00,1.22
262.0,-0.00,1.72
263.0,-0.00,1.03
264.0,-0.00,0.06
265.0,-0.00,0.21
266.0,-0.00,0.62
267.0,-0.00,1.67
268.0,-0.00,0.76
269.0,-0.00,0.08
270.0,-0.00,0.35
271.0,-0.00,0.84
272.0,-0.00,1.14
273.0,-0.00,1.46
274.0,-0.00,1.51
275.0,-0.00,0.83
276.0,-0.00,0.74
277.0,-0.00,0.86
278.0,-0.00,1.44
279.0,-0.00,1.53
280.0,-0.00,1.24
281.0,-0.00,0.61
282.0,-0.00,0.25
283.0,-0.00,0.27
284.0,-0.00,0.80
285.0,-0.00,0.12
286.0,-0.00,0.73
287.0,-0.00,0.61
288.0,-0.00,0.48
289.0,-0.00,1.94
290.0,-0.00,0.17
291.0,-0.00,1.01
292.0,-0.00,1.35
293.0,-0.00,0.34
294.0,-0.00,0.30
295.0,-0.00,0.22
296.0,-0.00,0.59
297.0,-0.00,1.61
298.0,-0.00,0.73
299.0,-0.00,1.46
300.0,-0.00,0.53
301.0,-0.00,0.83
302.0,-0.00,1.53
303.0,-0.00,0.50
304.0,-0.00,0.89
305.0,-0.00,1.65
306.0,-0.00,0.96
307.0,-0.00,1.74
308.0,-0.00,0.26
309.0,-0.00,0.85
310.0,-0.00,0.17
311.0,-0.00,0.46
312.0,-0.00,0.27
313.0,-0.00,0.95
314.0,-0.00,0.74
315.0,-0.00,0.60
316.0,-0.00,0.25
317.0,-0.00,1.37
318.0,-0.00,1.65
319.0,-0.00,0.14
320.0,-0.00,0.51
321.0,-0.00,0.45
322.0,-0.00,0.78
323.0,-0.00,0.36
324.0,-0.00,1.33
325.0,-0.00,0.31
326.0,-0.00,0.29
327.0,-0.00,1.44
328.0,-0.00,1.59
329.0,-0.00,1.23
330.0,-0.00,0.69
331.0,-0.00,0.06
332.0,-0.00,0.13
333.0,-0.00,0.51
334.0,-0.00,1.73
335.0,-0.00,0.04
336.0,-0.00,0.59
337.0,-0.00,0.07
338.0,-0.00,1.22
339.0,-0.00,0.65
340.0,-0.00,0.10
341.0,-0.00,1.12
342.0,-0.00,0.81
343.0,-0.00,0.04
344.0,-0.00,0.89
345.0,-0.00,1.52
346.0,-0.00,0.68
347.0,-0.00,0.13
348.0,-0.00,0.31
349.0,-0.00,0.05
350.0,-0.00,1.27
351.0,-0.00,1.14
352.0,-0.00,0.76
353.0,-0.00,0.55
354.0,-0.00,0.02
