NO,MValue,SValue
0.001,-0.00,0.94
1.051,-0.00,0.30
2.101,-0.00,0.19
3.151,-0.00,0.65
4.164,-0.00,0.43
5.164,-0.00,0.23
6.164,-0.00,0.21
7.163,-0.00,1.07
8.164,-0.00,0.42
9.164,-0.00,0.23
10.164,-0.00,1.05
11.163,-0.00,0.49
12.164,-0.00,0.70
13.164,-0.00,0.43
14.164,-0.00,0.24
15.163,-0.00,0.77
16.164,-0.00,0.22
17.164,-0.00,0.48
18.163,-0.00,0.58
19.164,-0.00,0.37
20.164,-0.00,0.99
21.164,-0.00,0.40
22.164,-0.00,0.30
23.163,-0.00,0.83
24.164,-0.00,0.30
25.164,-0.00,0.90
26.164,-0.00,0.34
27.163,-0.00,1.07
28.164,-0.00,0.72
29.163,-0.00,0.35
30.164,-0.00,0.76
31.164,-0.00,0.42
32.163,-0.00,0.53
33.164,-0.00,1.04
34.164,-0.00,0.22
35.163,-0.00,0.81
36.165,-0.00,0.31
37.164,-0.00,0.95
38.164,-0.00,0.23
39.164,-0.00,0.81
40.164,-0.00,0.62
41.164,-0.00,0.25
42.164,-0.00,0.83
43.163,-0.00,0.86
44.164,-0.00,0.35
45.164,-0.00,0.34
46.164,-0.00,0.65
47.164,-0.00,0.82
48.164,-0.00,0.82
49.164,-0.00,0.64
50.164,-0.00,0.35
51.164,-0.00,0.35
52.163,-0.00,0.26
53.164,-0.00,0.33
54.163,-0.00,0.35
55.163,-0.00,0.41
56.164,-0.00,0.75
57.164,-0.00,1.00
58.164,-0.00,1.10
59.164,-0.00,0.63
60.164,-0.00,0.28
61.164,-0.00,0.96
62.164,-0.00,0.35
63.164,-0.00,0.85
64.164,-0.00,0.39
65.163,-0.00,0.59
66.164,-0.00,0.75
67.164,-0.00,1.03
68.164,-0.00,0.48
69.163,-0.00,0.32
70.164,-0.00,0.69
71.164,-0.00,0.34
72.164,-0.00,0.32
73.164,-0.00,0.44
74.163,-0.00,0.28
75.164,-0.00,0.85
76.164,-0.00,0.39
77.164,-0.00,0.21
78.164,-0.00,0.76
79.164,-0.00,0.52
80.164,-0.00,0.31
81.164,-0.00,0.56
82.163,-0.00,0.29
83.164,-0.00,0.38
84.164,-0.00,0.33
85.164,-0.00,0.42
86.164,-0.00,0.58
87.164,-0.00,0.43
88.164,-0.00,0.79
89.164,-0.00,0.77
90.164,-0.00,0.95
91.163,-0.00,0.42
92.163,-0.00,0.66
93.163,-0.00,0.32
94.164,-0.00,0.58
95.164,-0.00,0.47
96.163,-0.00,0.91
97.164,-0.00,0.42
98.164,-0.00,0.48
99.164,-0.00,0.93
100.164,-0.00,0.39
101.164,-0.00,1.00
102.164,-0.00,0.41
103.164,-0.00,0.97
104.164,-0.00,0.74
105.164,-0.00,0.33
106.164,-0.00,0.25
107.163,-0.00,0.59
108.164,-0.00,0.83
109.164,-0.00,1.20
110.163,-0.00,0.96
111.164,-0.00,0.87
112.164,-0.00,0.43
113.164,-0.00,0.21
114.164,-0.00,0.33
115.164,-0.00,0.97
116.164,-0.00,0.90
117.164,-0.00,0.29
118.164,-0.00,0.98
119.164,-0.00,0.36
120.164,-0.00,0.82
121.164,-0.00,0.28
122.164,-0.00,0.64
123.164,-0.00,0.25
124.164,-0.00,0.83
125.164,-0.00,0.43
126.164,-0.00,0.20
127.164,-0.00,0.93
128.163,-0.00,0.30
129.164,-0.00,0.62
130.164,-0.00,0.37
131.164,-0.00,1.11
132.164,-0.00,0.20
133.164,-0.00,0.67
134.164,-0.00,0.45
135.163,-0.00,0.28
136.167,-0.00,0.54
137.164,-0.00,0.88
138.164,-0.00,0.85
139.164,-0.00,0.76
140.164,-0.00,0.66
141.164,-0.00,0.71
142.164,-0.00,1.06
143.164,-0.00,1.14
144.164,-0.00,0.68
145.164,-0.00,0.37
146.163,-0.00,0.31
147.164,-0.00,1.02
148.167,-0.00,0.42
149.258,-0.00,0.30
150.217,-0.00,0.69
151.163,-0.00,0.32
152.164,-0.00,0.56
153.164,-0.00,0.51
154.164,-0.00,0.29
155.163,-0.00,1.06
156.164,-0.00,0.30
157.164,-0.00,0.94
158.164,-0.00,0.55
159.164,-0.00,0.73
160.284,-0.00,0.61
161.167,-0.00,0.35
162.164,-0.00,0.55
163.164,-0.00,0.46
164.163,-0.00,0.60
165.163,-0.00,0.89
166.164,-0.00,0.32
167.164,-0.00,0.94
168.163,-0.00,0.26
169.213,-0.00,0.79
170.164,-0.00,0.28
171.164,-0.00,0.66
172.164,-0.00,0.24
173.164,-0.00,0.74
174.163,-0.00,0.28
175.164,-0.00,0.87
176.164,-0.00,0.46
177.163,-0.00,0.34
178.164,-0.00,0.86
179.165,-0.00,0.32
180.163,-0.00,0.73
181.164,-0.00,0.85
182.164,-0.00,0.31
183.164,-0.00,1.24
184.164,-0.00,0.42
185.245,-0.00,0.24
186.164,-0.00,0.91
187.165,-0.00,0.45
188.164,-0.00,0.23
189.164,-0.00,0.99
190.164,-0.00,0.55
191.164,-0.00,0.37
192.164,-0.00,1.00
193.163,-0.00,0.26
194.164,-0.00,1.18
