NO,MValue,SValue
1,11.07,0.84
2,10.72,0.86
3,10.40,0.89
4,10.20,0.90
5,10.04,0.91
6,9.78,0.93
7,9.64,0.94
8,9.52,0.95
9,9.40,0.96
10,9.30,0.97
11,9.23,0.97
12,9.14,0.98
13,9.07,0.99
14,9.00,0.99
15,8.90,1.00
16,8.84,1.00
17,8.80,1.01
18,8.72,1.01
19,8.68,1.02
20,8.63,1.02
21,8.59,1.03
22,8.53,1.03
23,8.48,1.03
24,8.43,1.04
25,8.39,1.04
26,8.33,1.05
27,8.30,1.05
28,8.27,1.05
29,8.22,1.06
30,8.18,1.06
31,8.17,1.06
32,8.13,1.06
33,8.11,1.07
34,8.09,1.07
35,8.02,1.08
36,7.97,1.08
37,7.95,1.08
38,7.91,1.08
39,7.87,1.09
40,7.84,1.09
41,7.83,1.10
42,7.79,1.10
43,7.76,1.10
44,7.75,1.10
45,7.72,1.11
46,7.73,1.10
47,7.71,1.11
48,7.66,1.11
49,7.64,1.11
50,7.65,1.12
51,7.61,1.12
52,7.57,1.12
53,7.59,1.12
54,7.57,1.12
55,7.53,1.13
56,7.53,1.13
57,7.51,1.13
58,7.52,1.13
59,7.52,1.13
60,7.48,1.13
61,7.46,1.14
62,7.45,1.14
63,7.42,1.14
64,7.41,1.14
65,7.38,1.15
66,7.37,1.15
67,7.36,1.15
68,7.35,1.15
69,7.34,1.15
70,7.31,1.16
71,7.32,1.16
72,7.30,1.16
73,7.31,1.16
74,7.30,1.16
75,7.29,1.16
76,7.29,1.16
77,7.27,1.17
78,7.28,1.16
79,7.28,1.17
80,7.28,1.17
81,7.27,1.17
82,7.26,1.17
83,7.26,1.17
84,7.25,1.17
85,7.25,1.17
86,7.25,1.17
87,7.25,1.17
88,7.22,1.18
89,7.24,1.18
90,7.24,1.18
91,7.24,1.18
92,7.24,1.18
93,7.23,1.18
94,7.24,1.18
95,7.22,1.18
96,7.21,1.18
97,7.22,1.18
98,7.22,1.18
99,7.23,1.19
100,7.23,1.18
101,7.22,1.19
102,7.22,1.19
103,7.22,1.19
104,7.23,1.19
105,7.22,1.19
106,7.23,1.19
107,7.22,1.19
108,7.23,1.19
109,7.23,1.19
110,7.23,1.19
111,7.23,1.19
112,7.23,1.19
113,7.23,1.19
114,7.23,1.19
115,7.23,1.19
116,7.25,1.19
117,7.25,1.19
118,7.26,1.19
119,7.26,1.19
120,7.29,1.19
121,7.28,1.19
122,7.29,1.19
123,7.29,1.19
124,7.30,1.19
125,7.31,1.19
126,7.30,1.20
127,7.30,1.20
128,7.31,1.20
129,7.30,1.20
130,7.32,1.20
131,7.32,1.20
132,7.33,1.20
133,7.33,1.20
134,7.35,1.20
135,7.34,1.20
136,7.36,1.20
137,7.36,1.20
138,7.37,1.20
139,7.36,1.20
140,7.37,1.20
141,7.39,1.20
142,7.39,1.20
143,7.38,1.20
144,7.40,1.20
145,7.39,1.20
146,7.39,1.20
147,7.41,1.20
148,7.42,1.20
149,7.43,1.20
150,7.43,1.20
151,7.44,1.20
152,7.45,1.20
153,7.45,1.20
154,7.45,1.20
155,7.44,1.20
156,7.45,1.20
157,7.45,1.20
158,7.46,1.20
159,7.45,1.20
160,7.47,1.20
161,7.47,1.20
162,7.47,1.20
163,7.47,1.20
164,7.48,1.20
165,7.51,1.20
166,7.50,1.20
167,7.51,1.20
168,7.51,1.20
169,7.52,1.20
170,7.52,1.20
171,7.52,1.20
172,7.53,1.20
173,7.53,1.20
174,7.54,1.20
175,7.55,1.20
176,7.55,1.21
177,7.57,1.20
178,7.57,1.20
179,7.57,1.20
180,7.58,1.20
181,7.58,1.20
182,7.59,1.20
183,7.59,1.20
184,7.59,1.20
185,7.59,1.20
186,7.61,1.20
187,7.60,1.21
188,7.60,1.21
189,7.61,1.21
190,7.60,1.21
191,7.62,1.21
192,7.62,1.21
193,7.63,1.21
194,7.63,1.21
195,7.63,1.21
196,7.63,1.21
197,7.63,1.21
198,7.65,1.21
199,7.65,1.21
200,7.66,1.21
201,7.66,1.21
202,7.66,1.21
203,7.67,1.21
204,7.68,1.21
205,7.69,1.21
206,7.69,1.21
207,7.69,1.21
208,7.70,1.21
209,7.71,1.21
210,7.72,1.21
211,7.72,1.21
212,7.70,1.21
213,7.72,1.21
214,7.72,1.21
215,7.73,1.21
216,7.73,1.21
217,7.74,1.21
218,7.75,1.21
219,7.74,1.21
220,7.75,1.21
221,7.76,1.21
222,7.78,1.21
223,7.78,1.21
224,7.77,1.21
225,7.80,1.21
226,7.80,1.21
227,7.79,1.21
228,7.80,1.21
229,7.80,1.21
230,7.81,1.21
231,7.82,1.21
232,7.81,1.21
233,7.84,1.20
234,7.83,1.21
235,7.82,1.21
236,7.83,1.21
237,7.83,1.21
238,7.84,1.21
239,7.85,1.21
240,7.85,1.21
241,7.88,1.20
242,7.89,1.20
243,7.87,1.21
244,7.87,1.21
245,7.89,1.20
246,7.88,1.21
247,7.90,1.21
248,7.92,1.20
249,7.89,1.21
250,7.88,1.21
251,7.90,1.21
252,7.92,1.21
253,7.92,1.21
254,7.91,1.21
255,7.93,1.21
256,7.92,1.21
257,7.94,1.21
258,7.96,1.20
259,7.98,1.20
260,7.96,1.20
261,7.95,1.21
262,7.97,1.20
263,7.94,1.21
264,7.98,1.20
265,7.98,1.20
266,7.99,1.20
267,7.99,1.20
268,8.00,1.20
269,8.01,1.20
270,8.01,1.20
271,8.03,1.20
272,8.03,1.20
273,8.02,1.20
274,8.02,1.20
275,8.02,1.20
276,8.04,1.20
277,8.05,1.20
