NO,MValue,SValue
1,-0.00,0.33
2,-0.00,0.58
3,-0.00,0.33
4,-0.00,0.51
5,-0.00,0.27
6,-0.00,0.71
7,-0.00,0.58
8,-0.00,0.50
9,-0.00,0.46
10,-0.00,0.29
11,-0.00,0.90
12,-0.00,0.45
13,-0.00,0.44
14,-0.00,0.71
15,-0.00,0.34
16,-0.00,0.70
17,-0.00,0.41
18,-0.00,0.33
19,-0.00,0.54
20,-0.00,0.56
21,-0.00,0.57
22,-0.00,0.30
23,-0.00,0.50
24,-0.00,0.50
25,-0.00,0.77
26,-0.00,0.27
27,-0.00,0.27
28,-0.00,0.54
29,-0.00,0.45
30,-0.00,0.37
31,-0.00,0.46
32,-0.00,0.57
33,-0.00,0.39
34,-0.00,0.41
35,-0.00,0.81
36,-0.00,0.29
37,-0.00,0.65
38,-0.00,0.46
39,-0.00,0.27
40,-0.00,0.37
41,-0.00,0.71
42,-0.00,0.80
43,-0.00,0.58
44,-0.00,0.31
45,-0.00,0.39
46,-0.00,0.77
47,-0.00,0.82
48,-0.00,0.34
49,-0.00,0.57
50,-0.00,0.73
51,-0.00,0.28
52,-0.00,0.53
53,-0.00,0.70
54,-0.00,0.39
55,-0.00,0.78
56,-0.00,0.52
57,-0.00,0.40
58,-0.00,0.65
59,-0.00,0.85
60,-0.00,0.31
61,-0.00,0.28
62,-0.00,0.31
63,-0.00,0.32
64,-0.00,0.37
65,-0.00,0.78
66,-0.00,0.45
67,-0.00,0.33
68,-0.00,0.66
69,-0.00,0.47
70,-0.00,0.45
71,-0.00,0.58
72,-0.00,0.72
73,-0.00,0.33
74,-0.00,0.36
75,-0.00,0.34
76,-0.00,0.56
77,-0.00,0.43
78,-0.00,0.57
79,-0.00,0.48
80,-0.00,0.48
81,-0.00,0.32
82,-0.00,0.74
83,-0.00,0.90
84,-0.00,0.33
85,-0.00,0.29
86,-0.00,0.96
87,-0.00,0.33
88,-0.00,1.24
89,-0.00,0.32
90,-0.00,0.54
91,-0.00,0.42
92,-0.00,0.30
93,-0.00,0.93
94,-0.00,0.34
95,-0.00,0.25
96,-0.00,0.71
97,-0.00,0.58
98,-0.00,0.32
99,-0.00,0.25
100,-0.00,0.22
101,-0.00,0.25
102,-0.00,0.96
103,-0.00,1.02
104,-0.00,0.67
105,-0.00,0.29
106,-0.00,0.25
107,-0.00,0.81
108,-0.00,0.50
109,-0.00,0.23
110,-0.00,1.04
111,-0.00,0.28
112,-0.00,1.05
113,-0.00,0.36
114,-0.00,0.67
115,-0.00,0.37
116,-0.00,0.33
117,-0.00,0.83
118,-0.00,0.25
119,-0.00,0.38
120,-0.00,0.74
121,-0.00,0.29
122,-0.00,0.33
123,-0.00,0.79
124,-0.00,0.28
125,-0.00,0.50
