NO,MValue,SValue
0.0,-0.00,0.70
0.949,-0.00,0.19
1.912,-0.00,0.71
2.911,-0.00,1.02
3.912,-0.00,0.36
4.912,-0.00,0.39
5.912,-0.00,1.00
6.912,-0.00,0.58
7.912,-0.00,0.44
8.911,-0.00,0.88
9.912,-0.00,0.36
10.912,-0.00,0.73
11.911,-0.00,0.55
12.912,-0.00,0.60
13.912,-0.00,0.70
14.912,-0.00,0.29
15.912,-0.00,0.91
16.912,-0.00,0.30
17.912,-0.00,0.59
18.912,-0.00,0.39
19.912,-0.00,0.41
20.912,-0.00,0.69
21.913,-0.00,0.35
22.911,-0.00,0.54
23.912,-0.00,0.49
24.912,-0.00,0.42
25.912,-0.00,0.68
26.912,-0.00,0.45
27.911,-0.00,0.53
28.911,-0.00,0.72
29.912,-0.00,0.41
30.911,-0.00,0.38
31.911,-0.00,0.61
32.912,-0.00,0.68
33.912,-0.00,0.45
34.912,-0.00,0.48
35.912,-0.00,0.70
36.912,-0.00,0.52
37.912,-0.00,0.38
38.912,-0.00,0.70
39.912,-0.00,0.63
40.912,-0.00,0.50
41.912,-0.00,0.42
42.911,-0.00,0.44
43.912,-0.00,0.58
44.912,-0.00,0.71
45.912,-0.00,0.66
46.912,-0.00,0.59
47.912,-0.00,0.54
48.912,-0.00,0.48
49.912,-0.00,0.40
50.911,-0.00,0.45
51.914,-0.00,0.50
52.912,-0.00,0.62
53.912,-0.00,0.74
54.912,-0.00,0.59
55.912,-0.00,0.63
56.912,-0.00,0.47
57.912,-0.00,0.39
58.912,-0.00,0.46
59.912,-0.00,0.53
60.912,-0.00,0.68
61.912,-0.00,0.67
62.912,-0.00,0.58
63.912,-0.00,0.46
64.912,-0.00,0.43
65.912,-0.00,0.41
66.912,-0.00,0.44
67.912,-0.00,0.45
68.912,-0.00,0.56
69.915,-0.00,0.47
70.912,-0.00,0.54
71.912,-0.00,0.56
72.911,-0.00,0.52
73.912,-0.00,0.61
74.912,-0.00,0.83
75.912,-0.00,0.65
76.912,-0.00,0.64
77.911,-0.00,0.63
78.915,-0.00,0.58
79.912,-0.00,0.66
80.911,-0.00,0.51
81.912,-0.00,0.53
82.912,-0.00,0.63
83.911,-0.00,0.62
84.912,-0.00,0.56
85.912,-0.00,0.59
86.912,-0.00,0.64
87.911,-0.00,0.65
88.912,-0.00,0.65
89.912,-0.00,0.53
90.912,-0.00,0.39
91.912,-0.00,0.45
92.912,-0.00,0.55
93.912,-0.00,0.65
94.912,-0.00,0.61
95.912,-0.00,0.43
96.912,-0.00,0.40
97.912,-0.00,0.49
98.911,-0.00,0.53
99.912,-0.00,0.54
100.911,-0.00,0.60
101.912,-0.00,0.65
102.912,-0.00,0.53
103.911,-0.00,0.67
104.912,-0.00,0.68
105.912,-0.00,0.67
106.912,-0.00,0.69
107.912,-0.00,0.67
108.912,-0.00,0.66
109.912,-0.00,0.61
110.912,-0.00,0.65
111.911,-0.00,0.64
112.912,-0.00,0.60
113.912,-0.00,0.63
114.912,-0.00,0.61
115.911,-0.00,0.66
116.912,-0.00,0.63
117.912,-0.00,0.59
118.912,-0.00,0.68
119.911,-0.00,0.69
120.912,-0.00,0.56
121.912,-0.00,0.63
122.912,-0.00,0.51
123.911,-0.00,0.49
124.912,-0.00,0.48
125.911,-0.00,0.57
126.911,-0.00,0.59
127.912,-0.00,0.63
128.912,-0.00,0.64
129.912,-0.00,0.46
130.913,-0.00,0.41
131.912,-0.00,0.51
132.912,-0.00,0.60
133.915,-0.00,0.56
134.912,-0.00,0.46
135.912,-0.00,0.60
136.912,-0.00,0.71
137.912,-0.00,0.46
138.912,-0.00,0.47
139.912,-0.00,0.68
140.912,-0.00,0.45
141.913,-0.00,0.58
142.912,-0.00,0.64
143.912,-0.00,0.46
144.912,-0.00,0.62
145.912,-0.00,0.45
146.911,-0.00,0.48
147.912,-0.00,0.56
148.912,-0.00,0.46
149.912,-0.00,0.60
150.911,-0.00,0.48
151.911,-0.00,0.63
152.912,-0.00,0.49
153.911,-0.00,0.74
154.912,-0.00,0.40
155.912,-0.00,0.67
156.912,-0.00,0.43
157.912,-0.00,0.66
158.912,-0.00,0.47
159.912,-0.00,0.49
160.912,-0.00,0.68
161.911,-0.00,0.59
162.912,-0.00,0.46
163.912,-0.00,0.49
164.911,-0.00,0.49
165.912,-0.00,0.46
166.912,-0.00,0.51
167.912,-0.00,0.51
168.912,-0.00,0.46
169.912,-0.00,0.74
170.912,-0.00,0.64
171.912,-0.00,0.45
172.912,-0.00,0.47
173.912,-0.00,0.61
174.912,-0.00,0.45
175.918,-0.00,0.55
176.911,-0.00,0.60
177.912,-0.00,0.47
178.912,-0.00,0.54
179.912,-0.00,0.57
180.912,-0.00,0.68
181.912,-0.00,0.72
182.912,-0.00,0.58
183.912,-0.00,0.59
184.911,-0.00,0.40
185.912,-0.00,0.50
186.912,-0.00,0.72
187.912,-0.00,0.58
188.911,-0.00,0.53
189.912,-0.00,0.64
190.911,-0.00,0.44
191.912,-0.00,0.63
192.912,-0.00,0.50
193.912,-0.00,0.49
194.913,-0.00,0.68
195.912,-0.00,0.41
196.912,-0.00,0.50
197.912,-0.00,0.59
198.912,-0.00,0.60
199.912,-0.00,0.50
200.912,-0.00,0.68
201.912,-0.00,0.46
202.912,-0.00,0.50
203.911,-0.00,0.60
204.912,-0.00,0.75
205.912,-0.00,0.69
206.912,-0.00,0.65
207.912,-0.00,0.54
208.912,-0.00,0.59
209.912,-0.00,0.52
210.912,-0.00,0.63
211.912,-0.00,0.64
212.911,-0.00,0.65
213.912,-0.00,0.66
214.912,-0.00,0.52
215.912,-0.00,0.48
216.912,-0.00,0.44
217.912,-0.00,0.40
218.912,-0.00,0.46
219.912,-0.00,0.55
220.912,-0.00,0.65
221.912,-0.00,0.63
222.911,-0.00,0.53
223.912,-0.00,0.44
224.912,-0.00,0.49
225.912,-0.00,0.72
226.912,-0.00,0.66
227.912,-0.00,0.52
228.912,-0.00,0.45
229.912,-0.00,0.44
230.912,-0.00,0.44
231.911,-0.00,0.51
232.912,-0.00,0.60
233.911,-0.00,0.50
234.912,-0.00,0.42
235.911,-0.00,0.40
236.912,-0.00,0.55
237.912,-0.00,0.63
238.912,-0.00,0.43
239.912,-0.00,0.51
240.912,-0.00,0.79
241.912,-0.00,0.45
242.912,-0.00,0.71
243.912,-0.00,0.42
244.912,-0.00,0.74
245.912,-0.00,0.35
246.912,-0.00,0.58
247.912,-0.00,0.54
248.911,-0.00,0.50
249.911,-0.00,0.56
250.912,-0.00,0.76
251.912,-0.00,0.39
252.912,-0.00,0.45
253.912,-0.00,0.63
254.911,-0.00,0.67
255.912,-0.00,0.61
256.912,-0.00,0.52
257.912,-0.00,0.59
258.912,-0.00,0.46
259.912,-0.00,0.39
260.912,-0.00,0.57
261.911,-0.00,0.44
262.912,-0.00,0.37
263.912,-0.00,0.55
264.912,-0.00,0.47
265.911,-0.00,0.43
266.912,-0.00,0.38
267.912,-0.00,0.57
268.912,-0.00,0.74
269.912,-0.00,0.57
270.911,-0.00,0.67
271.911,-0.00,0.69
272.912,-0.00,0.61
273.912,-0.00,0.61
274.912,-0.00,0.48
275.912,-0.00,0.54
276.912,-0.00,0.36
277.912,-0.00,0.45
278.912,-0.00,0.43
279.912,-0.00,0.47
280.912,-0.00,0.52
281.912,-0.00,0.50
282.911,-0.00,0.44
283.912,-0.00,0.71
284.912,-0.00,0.79
285.912,-0.00,0.73
286.912,-0.00,0.46
287.912,-0.00,0.60
288.912,-0.00,0.74
289.912,-0.00,0.68
290.912,-0.00,0.43
291.912,-0.00,0.42
292.912,-0.00,0.65
293.912,-0.00,0.53
294.912,-0.00,0.50
295.912,-0.00,0.42
296.912,-0.00,0.59
297.912,-0.00,0.50
298.912,-0.00,0.68
299.911,-0.00,0.71
300.911,-0.00,0.72
301.912,-0.00,0.60
302.912,-0.00,0.66
303.912,-0.00,0.78
304.912,-0.00,0.49
305.912,-0.00,0.69
306.911,-0.00,0.71
307.912,-0.00,0.49
