NO,MValue,SValue,MValue_Mean,SValue_Mean,MValue_Analyze,SValue_Analyze
122,44.44,2.356,44.43,2.349416666666667,1.2,0.5
123,44.45,2.356,44.43,2.35175,0.1,0.5
124,44.45,2.363,44.42916666666667,2.3546666666666667,0.1,0.5
125,44.44,2.363,44.4275,2.355916666666667,0.2,0.4
126,44.44,2.361,44.432500000000005,2.3565833333333335,0.3,0.2
127,44.31,2.36,44.42416666666667,2.3571666666666666,0.3,0.1
128,44.3,2.36,44.415,2.357666666666667,1.7999999999999998,0.1
129,44.3,2.375,44.405,2.3594166666666667,1.9,0.2
130,44.29,2.39,44.39416666666667,2.362416666666667,2.1,0.5
131,44.37,2.39,44.38916666666666,2.3653333333333335,1.6,0.6
132,44.37,2.396,44.38333333333333,2.36875,1.0999999999999999,0.6
133,44.4,2.396,44.379999999999995,2.3721666666666663,0.8999999999999999,0.7000000000000001
134,44.4,2.38,44.376666666666665,2.374166666666667,0.7000000000000001,0.5
135,44.32,2.38,44.365833333333335,2.3761666666666668,1.4000000000000001,0.4
136,44.34,2.38,44.35666666666666,2.3775833333333334,2.0,0.3
137,44.34,2.379,44.348333333333336,2.3789166666666666,1.7000000000000002,0.3
138,44.34,2.379,44.34,2.3804166666666666,1.7000000000000002,0.3
139,44.34,2.379,44.3425,2.382,0.6,0.3
140,44.34,2.379,44.34583333333333,2.3835833333333336,0.6,0.3
141,44.35,2.379,44.35,2.3839166666666665,0.8,0.2
142,44.35,2.393,44.355,2.3841666666666668,0.8999999999999999,0.1
143,44.48,2.394,44.36416666666667,2.3844999999999996,1.4000000000000001,0.1
144,44.46,2.394,44.37166666666667,2.384333333333333,1.7000000000000002,0.0
145,44.46,2.403,44.376666666666665,2.384916666666667,1.2,0.0
146,44.35,2.403,44.3725,2.386833333333333,0.1,0.2
147,44.35,2.404,44.375,2.3888333333333334,0.2,0.4
148,44.37,2.404,44.3775,2.3908333333333336,0.5,0.4
149,44.38,2.404,44.380833333333335,2.392916666666667,0.6,0.4
150,44.38,2.403,44.384166666666665,2.3949166666666666,0.7000000000000001,0.4
151,44.18,2.403,44.37083333333334,2.3969166666666664,1.0,0.4
152,44.29,2.403,44.36666666666667,2.398916666666667,1.7000000000000002,0.4
153,44.29,2.398,44.36166666666667,2.4005,0.8999999999999999,0.4
154,44.31,2.398,44.35833333333333,2.400916666666667,0.8,0.2
155,44.31,2.413,44.344166666666666,2.4025000000000003,1.7999999999999998,0.2
156,44.43,2.414,44.34166666666667,2.404166666666667,1.7000000000000002,0.3
157,44.44,2.414,44.34,2.4050833333333332,0.4,0.3
158,44.44,2.415,44.3475,2.406083333333333,0.6,0.2
